Time;NTC rec;Bst rec;NTC CF;CF 1;CF 0.5;CF 0.25;CF 0.125;Bst rec;Wells 1;Wells 2;Wells 3;Lid;Target;;;;;;;;;;;;;;temp;Target;temp
0:06:01;0;0;0;0;0;0;0;0;66.9;66.9;66.93;91;65;;;;;;;;;;;;;;;;
0:06:21;-2.75;-6.906;-1;-3.687;-2.969;7;2.376;-4.812;66.94;66.98;67;91.09;65;;;;;;;;;;;;;;;;
0:06:41;5.438;1.344;5.813;0.813;1.25;3;6.75;5.563;66.89;66.73;66.65;90.94;65;;;;;;;;;;;;;;;;
0:07:01;1.813;4.719;-1.874;-1.593;5.843;3.688;7;3;66.8;67.04;66.88;91.05;65;;;;;;;;;;;;;;;;
0:07:21;5.938;1.063;0.313;7.969;5.312;3.813;15.938;0.438;67.05;67.07;66.86;91.2;65;;;;;;;;;;;;;;;;
0:07:41;2.313;1.875;11.188;8.219;3.937;7.876;8.376;2.376;67.08;67.01;67.09;91.1;65;;;;;;;;;;;;;;;;
0:08:01;5.313;4.375;10;3.875;2.781;13.75;11.626;9.938;66.88;66.93;66.9;91.2;65;;;;;;;;;;;;;;;;
0:08:21;11.688;8.844;5.688;6.125;6.093;10.938;17.25;3.063;66.93;66.91;66.84;90.96;65;;;;;;;;;;;;;;;;
0:08:41;10.563;7.563;6.813;9.563;10.343;15.25;15.376;7.75;67.04;66.98;66.96;91.17;65;;;;;;;;;;;;;;;;
0:09:01;5.688;5.094;12.876;11.75;2.812;17;15.25;14.313;66.68;66.63;66.99;91.2;65;;;;;;;;;;;;;;;;
0:09:21;9.063;1.656;16.313;11.719;11.593;13.438;18.5;11.188;66.8;66.82;66.77;91.17;65;;;;;;;;;;;;;;;;
0:09:41;10.376;2.594;15.876;18.844;12.312;14.188;19.876;12;66.78;66.98;67.03;91.15;65;;;;;;;;;;;;;;;;
0:10:01;10;3.875;14;13.781;12.812;18.126;18.75;12.25;66.94;66.78;66.98;91;65;;;;;;;;;;;;;;;;
0:10:21;12.688;10.344;12.5;10.75;8.781;18.063;24.938;18.75;66.66;66.95;66.94;90.94;65;;;;;;;;;;;;;;;;
0:10:41;8.376;8.687;19.626;11.75;9.375;20;25.938;15.876;66.98;66.81;66.9;91.09;65;;;;;;;;;;;;;;;;
0:11:01;14.063;10.063;8.25;11.75;7.125;19.688;26;16.188;66.92;66.79;66.86;90.94;65;;;;;;;;;;;;;;;;
0:11:22;12.75;9.031;14.313;14.25;13.062;18.126;23.626;23;66.88;66.88;66.74;90.97;65;;;;;;;;;;;;;;;;
0:11:41;10.438;8.5;15.313;14.063;16.437;18.313;26.25;13.75;66.71;66.73;66.63;90.96;65;;;;;;;;;;;;;;;;
0:12:02;13.063;8.781;10.313;13.407;15.093;19.5;26;16.438;66.55;66.57;66.47;91.12;65;;;;;;;;;;;;;;;;
0:12:22;9.813;5.656;16.25;16.657;18.062;20.188;27.938;16.25;66.41;66.42;66.25;90.87;65;;;;;;;;;;;;;;;;
0:12:42;12.813;9.469;13.563;17.125;15.25;19.626;26.626;20;66.14;66.16;66.04;91.14;65;;;;;;;;;;;;;;;;
0:13:02;13.063;7.437;16.376;19.25;17.562;18.876;26.376;24.813;66.26;66.16;66.09;91.15;65;;;;;;;;;;;;;;;;
0:13:22;9.688;7.906;17.688;19.219;14.593;24.188;25.876;19.938;65.95;66.02;65.93;90.86;65;;;;;;;;;;;;;;;;
0:13:42;9.75;6.313;16.876;16.375;13;21.876;30.376;21.438;66.1;66.33;65.91;91.15;65;;;;;;;;;;;;;;;;
0:14:02;16.188;27.813;15;16.344;11.812;23.813;27.938;22.063;66.18;66.09;65.93;91.12;65;;;;;;;;;;;;;;;;
0:14:22;10.313;7.219;19.25;22.5;16.406;20.626;27.688;23.813;65.91;65.91;66.07;91.14;65;;;;;;;;;;;;;;;;
0:14:42;15.188;8.813;17.376;20.75;10.687;26.5;26.5;23.25;66.22;66.08;66.19;90.91;65;;;;;;;;;;;;;;;;
0:15:02;16.188;8.469;19.25;30.157;16.031;23.938;27.438;25.75;65.91;65.87;66.05;90.8;65;;;;;;;;;;;;;;;;
0:15:22;9.813;6.219;26.626;38.781;18.187;22.438;29.438;28;66.05;65.99;66.24;91.03;65;;;;;;;;;;;;;;;;
0:15:42;15.376;10.063;31.5;41.219;12.781;26.25;27.626;29.626;66.11;65.82;65.77;91.11;65;;;;;;;;;;;;;;;;
0:16:02;8.25;4.25;42.5;54.188;17.187;22.563;31.876;42.438;65.88;66.07;66.31;90.79;65;;;;;;;;;;;;;;;;
0:16:22;15;11.75;49.563;60.907;12.719;23.376;26.876;41.25;65.72;66.01;66.05;90.91;65;;;;;;;;;;;;;;;;
0:16:42;12.5;6.969;57.25;64.407;17;25.188;28.75;49.438;66.18;65.97;66.09;91.02;65;;;;;;;;;;;;;;;;
0:17:02;14.438;8.719;68.376;74.907;16.812;24.376;28.626;61.438;65.89;65.93;66;91.04;65;;;;;;;;;;;;;;;;
